,tracking_number,last_mile_tracking_number,bag_id
0,EE30000090534900001040003C0D,CNCPP210812172027176747676,A0300098790DHA1080020SHA0
1,EE30000090535040001040003E0D,CNCPP210812172304176741481,A0300098800DHA1080020SHA0
2,EE30000090535160001040003F0D,CNCPP210812172539176749331,A0300098810DHA1080020SHA0
3,EE30000090535290001040003G0D,CNCPP210812172813176742991,A0300098820DHA1080020SHA0
4,EE30000090535310001040003G0D,CNCPP210812173048176748368,A0300098830DHA1080020SHA0
5,EE30000090535430001040003F0D,CNCPP210812173322176747146,A0300098840DHA1080020SHA0
6,EE30000090535550001040003D0D,CNCPP210812173556176741723,A0300098850DHA1080020SHA0
7,EE30000090535680001040003G0D,CNCPP210812173830176751027,A0300098860DHA1080020SHA0
8,EE30000090535700001040003D0D,CNCPP210812174105176742276,A0300098870DHA1080020SHA0
9,EE30000090535820001040003F0D,CNCPP210812174340176744076,A0300098880DHA1080020SHA0
